id,word_id,word,sentence,ko_translation
0199de3f-b26f-7010-cbc8-874ae184f12c,01992796-2d86-703a-d26c-a5f6df79c363,said,He said hello.,그는 인사했다.
0199de3f-b834-701c-e009-90b6de357090,0199277f-14bc-7080-5a41-3751f1c3fa9a,are,They are nice.,그들은 친절해.
0199de3f-b9bb-702f-6fa1-d8541e9bae96,0199277e-fb8c-70cc-a8e4-7dc76cc9a7eb,an,He ate an apple.,그는 사과를 먹었다.
0199de3f-bcd9-704d-0019-7d274f13740d,019936d6-c8de-70ee-a572-4c24d2adec95,pct,The pct increased by five.,점수가 5점 올랐어.
0199de3f-c109-7078-ee41-7aa1b9b86f01,0199277f-41e8-70f5-6e49-26e0ef0b6cfc,guy,That guy is nice.,그 남자 좋아.
0199de3f-c296-70db-71a5-e99d57dd4ce7,01992798-998a-70ca-a0c5-f88acb5756a6,billion,The company made a billion dollars.,회사는 10억 달러를 벌었습니다.
0199de3f-c37d-7011-2eb7-080501f8d339,0199277f-09bc-70b4-5bab-465e05ffeca0,re,I’ll re-send the file.,파일 다시 보내줄게.
0199de3f-c536-7027-307e-e6035fd1fa6d,01992796-137b-7027-d5b3-01eea4692067,loss,The team had one loss.,팀이 한 번 졌어.
0199de3f-cb68-70b2-878f-34571b7f2c61,01992796-8f79-70b8-36e8-e3b8f089dcb2,going,I’m going to school.,나는 학교에 갈 거야.
0199de3f-cbee-700d-f7aa-7030a197118f,01992780-0863-70a3-745b-6d0dfdcb01a3,cell,This cell is small.,이 휴대폰은 작습니다.
0199de3f-cc2c-7099-51c9-fa89be1c534d,01992796-1486-7097-d76f-a9fefcf1c400,made,He made a cake.,그는 케이크를 만들었어.
0199de3f-cd96-700b-a61f-a7e89222f565,01992797-1239-70e5-c118-36c741f0eed6,while,I read while I eat.,저는 먹으면서 책을 읽습니다.
0199de3f-ce49-70d9-6673-10f7a1446e5e,0199277f-1971-706d-8655-197d274b0431,bar,We went to a bar.,우리는 술집에 갔습니다.
0199de3f-cffa-706e-120f-174619aa0931,01992797-fdb5-70cf-9da1-51b18482ff74,profit,The store made a big profit.,가게는 큰 이익을 냈어.
0199de3f-d0a4-7063-b252-839d86c64e37,01992797-16e2-70c8-8338-90291e192673,years,I lived there for ten years.,나는 거기서 10년 살았어.
0199de3f-d118-7053-c0c9-ae0d35e5db97,01992796-3575-70e4-e5d0-5f6cffb692ba,such,She is such a kind girl.,그녀는 정말 착한 아이예요.
0199de3f-d1c6-70d5-71b8-45322d4aedc2,0199277f-8cb3-7020-ed3f-758e685fa20c,tab,Click the 'home' tab.,'홈' 탭을 클릭하세요.
0199de3f-d1fb-7004-cdf7-6c36cb575191,0199277f-6b16-70f5-f7f6-e8a78cc94912,oil,Add some oil to the pan.,팬에 기름 좀 두르렴.
0199de3f-d23a-70e2-b7ed-7fb405ffeeaa,01992798-752f-70e6-a172-5a6b08ea79a1,against,We played against another team.,우리는 다른 팀과 경기를 했습니다.
0199de3f-d2ac-70cd-244e-1992932810d8,01992796-532f-7055-bfbd-7307cdeb333d,being,I like being outside.,나는 밖에 있는 걸 좋아해.
0199de3f-d390-705d-b264-e033614a53be,01992796-f5b0-7097-dc86-0eb14e725039,stock,The stock price is high.,주가가 높아요.
